COUNTRY,YEAR,VACCINECODE,INTERVENTION,SCHEDULEROUNDS,TARGETPOP,GEOAREA,AGEADMINISTERED,SUBNATIONAL_TARGET,SOURCECOMMENT,COMMENTORIGINAL,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP
NOR,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
GNB,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
ALB,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
ALB,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
ALB,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
ALB,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
NLD,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
NLD,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
NLD,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
MDA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
MDA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
MDA,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
MDA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
MDA,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
TLS,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
TLS,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
TLS,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
TLS,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,Updated eJRF 2024 received 9/Jun/2025.,,,
TLS,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
SRB,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
SRB,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
SRB,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
BEL,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
BEL,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
BEL,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
BEL,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
STP,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
STP,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
STP,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
STP,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
STP,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
ZMB,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
ZMB,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
ZMB,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
ZMB,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
ZMB,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
YEM,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
YEM,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
YEM,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
YEM,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
EGY,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
EGY,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,pregnant women,,,,,
EGY,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
EGY,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
EGY,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
MDV,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
MDV,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older persons",,,,,
SWE,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
SWE,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
SWE,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,Adults with chronic conditions,,,,,
BWA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
BWA,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
BWA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
BWA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
BWA,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
NER,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
NER,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
NER,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
GMB,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, older adults",,Updated eJRF 2024 received 19/Jun/2025,,,
UGA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
UGA,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
